YYYYMMDD	Module	Version	Who	Changes
20241122	fmTextMultiplier	1.2	@mrwatson-de	- Improve Help & Examples - Release with Examples already created
20241122	fmTextConverter	1.3	@mrwatson-de	- Improve Help & Examples - Release with Examples already created
20241121	fmWorkMate	1.17.1	@mrwatson-de	- Fix GitHub name to @mrwatson-de
20241121	fmTextSeries	1.0	@mrwatson-de	- Fix GitHub name to mrwatson-de - Change version number to start with v - v1.0
20241121	fmTextMultiplier	1.1.1	@mrwatson-de	- Fix GitHub name to mrwatson-de
20241121	fmTextDiff	1.8.1	@mrwatson-de	- Fix GitHub name to mrwatson-de
20241121	fmPasteMate	1.0	@mrwatson-de	- Fix GitHub name to @mrwatson-de - Version number with v - v1.0
20241121	fmModifierKeys	1.0	@mrwatson-de	- Fix GitHub name to @mrwatson-de - Version number with v - v1.0
20241121	fmLogAnalyser	0.9.43	@mrwatson-de	- Fix GitHub name to @mrwatson-de - Change to version number with v
20241121	fmKeyPress	1.0	@mrwatson-de	- Fix GitHub name to @mrwatson-de - Version number with v - v1.0
20241121	fmDBAnalyser	0.9.16	@mrwatson-de	- Fix GitHub name to @mrwatson-de
20241121	fmClipboardViewer	1.0	@mrwatson-de	- Fix GitHub name to @mrwatson-de - Version number with v - v1.0
20241121	fmCheckMate	1.3	@mrwatson-de	- Fix Find in RegEx mode - Fix GitHub name to @mrwatson-de
20241119	fmTextMultiplier	1.1	@mrwatson-de	- Improve UX - Add Buttons for Pasting Text, Search Values and Replace Values - for ease and for discoverability - Improve App menu and shortcut keys to be more standardised and useful - Make paste work for WHATEVER is in the clipboard (Convert only if necessary)
20241119	fmTextConverter	1.2	@mrwatson-de	- Improve UX - Add Buttons for Pasting (to) Text, Search Values and Replace Values - for ease and for discoverability - Improve fmTextConverter menu and shortcut keys to be more standardised and useful - Make paste work for WHATEVER is in the clipboard (Convert only if necessary) - Add clearer warning if search values not found
20241113	fmTextConverter	1.1	@mrwatson-de	- Add Compare Values popover to do value not operations
20240820	fmWorkMate	1.17	@mrwatson-de	- Improve Icons on start page - Fix Blog URL
20240627	fmCheckMate	1.2	@mrwatson-de	- Fix bugs with copying theme - Theme clipboard flavour was changed in FM21, requiring a two pass conversion - After converting theme, user is correctly left in editor view
20240626	fmWorkMate	1.16	@mrwatson-de	- Add CF `_MBS` to show plugin state - Add MBS plugin state to BYOL button text
20240419	fmWorkMate	1.15	@mrwatson-de	- Add functions - 3 Bitwise functions: _BitAnd, _BitOr, _BitXor - 4 EOL character constants: TAB, CR, LF, CRLF - 1 text function: _TrimWS
20240215	fmMetaMate	0.2	@mrwatson-de	Renamed to fmMetaMate
20240213	fmCheckMate	1.2.2	@mrwatson-de	- Removed iDDR-Path from user prefs, since it is now a calculated field
20240124	fmWorkMate	1.14	@mrwatson-de	- Fixes #98 - if MBS stops working we see a message and the script halts
20240119	fmCheckMate	1.2.1	@mrwatson-de	- Fixes #102 - Go to Next Element
20240104	fmWorkMate	1.13	@mrwatson-de	- Fixes #99 `Tools Help > Get latest Release` goes to a blank URL
20231219	fmWorkMate	1.12	@mrwatson-de	- Fixes #97 - Reference the correct Repo URL (not from portal)
20231128	fmWorkMate	1.11	@mrwatson-de	- Updated fmSetupAssistant Icon
20231117	fmCheckMate	1.2	@mrwatson-de	- Added CallbackScript to indent
20230615	fmTextMultiplier	1.0	@mrwatson-de	- Improved Menu shortcuts - Harmonised menu shortcut for `Copy Result -> FM` = ⌘7 - Let's call it v1.0 ! :D
20230525	fmWorkMate	1.10	@mrwatson-de	- Added Plugin Warning to Home page (Settings button turns red & has tooltip) - Fixed Bug to Warn of missing plugin when loading/saving UserPreferences
20230524	fmWorkMate	1.9	@mrwatson-de	fmSimpleCalculator - Added DateTime unit functions for quicker date/time calculations: - d, t, ts, yrs, mnths, wks, dys, hrs, mins, secs, ms, µs - Simplified access to functions: - Added just an "f", or "…:f" to show functions - Added "…:q" to add quote function - Made Calculator help text dynamic
20230502	fmLogAnalyser	0.9.42	@mrwatson-de	- Added link to fm rainbow log in Help > Companion Tools
20230428	fmTextDiff	1.8	@mrwatson-de	- Initialise app when called via API
20230331	fmWorkMate	1.8.2	@mrwatson-de	- Fixed tool settings list to show all tools
20230331	fmCheckMate	1.1	@mrwatson-de	- Improved layout analysis result detail view: - Fixed the layout image. - Improved the object location image visually - Added function to flash the object location rectangle - Added function to copy the object location rectangle - Improved UX by revamping the menu and button bar
20230327	fmTextDiff	1.7	@mrwatson-de	- Improved Split Diff to work with Layout Objects
